"filename", "language", "TypeScript", "CSS", "HTML", "JSON", "XML", "SCSS", "comment", "blank", "total"
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\app.component.html", "HTML", 0, 0, 15, 0, 0, 0, -3, 1, 13
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\app.component.ts", "TypeScript", -4, 0, 0, 0, 0, 0, -5, 15, 6
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\cart-service.service.ts", "TypeScript", 9, 0, 0, 0, 0, 0, -2, 6, 13
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\cart\cart.component.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 1, 1, 9
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\homepage\homepage.component.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\navbar\navbar.component.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 8, 7, 18
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-list\product-list.component.css", "CSS", 0, 42, 0, 0, 0, 0, 0, 8, 50
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\product-list\product-list.component.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\single-product\single-product.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\porducts\single-product\single-product.component.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, -1, 0
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\Line 1.svg", "XML", 0, 0, 0, 0, -3, 0, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\PerlaProfilLogo-white.svg", "XML", 0, 0, 0, 0, -127, 0, -1, -1, -129
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\chevron-right-white.svg", "XML", 0, 0, 0, 0, -3, 0, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\chevron-right.svg", "XML", 0, 0, 0, 0, -3, 0, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\control-logo-dark3.svg", "XML", 0, 0, 0, 0, -10, 0, 0, -1, -11
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\control-logo-white-with-green.svg", "XML", 0, 0, 0, 0, -10, 0, 0, -1, -11
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\control-logo-white.svg", "XML", 0, 0, 0, 0, -34, 0, -1, -1, -36
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\css\demo.css", "CSS", 0, -158, 0, 0, 0, 0, -18, -31, -207
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\down lines.svg", "XML", 0, 0, 0, 0, -7, 0, 0, -1, -8
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\facebook-f.svg", "XML", 0, 0, 0, 0, -3, 0, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\footerLines.svg", "XML", 0, 0, 0, 0, -7, 0, 0, -1, -8
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\incoming-call.svg", "XML", 0, 0, 0, 0, -3, 0, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\instagram.svg", "XML", 0, 0, 0, 0, -3, 0, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\location-pin-alt.svg", "XML", 0, 0, 0, 0, -3, 0, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\mail.svg", "XML", 0, 0, 0, 0, -4, 0, 0, -1, -5
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\mosqui-logo-dark2.svg", "XML", 0, 0, 0, 0, -9, 0, 0, -1, -10
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\mosqui-logo-white-with-green.svg", "XML", 0, 0, 0, 0, -9, 0, 0, -1, -10
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\mosqui-logo-white.svg", "XML", 0, 0, 0, 0, -52, 0, -1, -1, -54
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\motion-logo-dark2.svg", "XML", 0, 0, 0, 0, -10, 0, 0, -1, -11
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\motion-logo-white-with-green.svg", "XML", 0, 0, 0, 0, -10, 0, 0, -1, -11
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\motion-logo-white.svg", "XML", 0, 0, 0, 0, -30, 0, -1, -1, -32
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\print.svg", "XML", 0, 0, 0, 0, -3, 0, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\profile-logo-dark2.svg", "XML", 0, 0, 0, 0, -11, 0, 0, -1, -12
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\profile-logo-white-with-green.svg", "XML", 0, 0, 0, 0, -11, 0, 0, -1, -12
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\profile-logo-white.svg", "XML", 0, 0, 0, 0, -25, 0, -1, -1, -27
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard.scss", "SCSS", 0, 0, 0, 0, 0, -31, -22, -9, -62
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_alerts.scss", "SCSS", 0, 0, 0, 0, 0, -62, 0, -13, -75
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_animated-buttons.scss", "SCSS", 0, 0, 0, 0, 0, -60, -1, -11, -72
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_buttons.scss", "SCSS", 0, 0, 0, 0, 0, -204, -4, -27, -235
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_cards.scss", "SCSS", 0, 0, 0, 0, 0, -113, 0, -28, -141
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_checkboxes-radio.scss", "SCSS", 0, 0, 0, 0, 0, -124, 0, -19, -143
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_dropdown.scss", "SCSS", 0, 0, 0, 0, 0, -422, -5, -54, -481
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_fixed-plugin.scss", "SCSS", 0, 0, 0, 0, 0, -290, 0, -53, -343
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_footers.scss", "SCSS", 0, 0, 0, 0, 0, -38, 0, -9, -47
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_images.scss", "SCSS", 0, 0, 0, 0, 0, -7, 0, -1, -8
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_inputs.scss", "SCSS", 0, 0, 0, 0, 0, -347, -2, -55, -404
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_misc.scss", "SCSS", 0, 0, 0, 0, 0, -135, -3, -15, -153
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_mixins.scss", "SCSS", 0, 0, 0, 0, 0, -7, -1, -1, -9
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_navbar.scss", "SCSS", 0, 0, 0, 0, 0, -256, 0, -55, -311
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_nucleo-outline.scss", "SCSS", 0, 0, 0, 0, 0, -435, -29, -103, -567
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_page-header.scss", "SCSS", 0, 0, 0, 0, 0, -73, 0, -13, -86
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_responsive.scss", "SCSS", 0, 0, 0, 0, 0, -462, 0, -89, -551
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_sidebar-and-main-panel.scss", "SCSS", 0, 0, 0, 0, 0, -306, -1, -55, -362
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_tables.scss", "SCSS", 0, 0, 0, 0, 0, -150, 0, -24, -174
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_typography.scss", "SCSS", 0, 0, 0, 0, 0, -148, -5, -21, -174
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_variables.scss", "SCSS", 0, 0, 0, 0, 0, -274, -19, -112, -405
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\angular\_dropdown.scss", "SCSS", 0, 0, 0, 0, 0, -3, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\angular\_fixed-plugin.scss", "SCSS", 0, 0, 0, 0, 0, -11, 0, -1, -12
