"filename", "language", "SCSS", "comment", "blank", "total"
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard.scss", "SCSS", -31, -22, -9, -62
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_alerts.scss", "SCSS", -62, 0, -13, -75
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_animated-buttons.scss", "SCSS", -60, -1, -11, -72
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_buttons.scss", "SCSS", -204, -4, -27, -235
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_cards.scss", "SCSS", -113, 0, -28, -141
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_checkboxes-radio.scss", "SCSS", -124, 0, -19, -143
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_dropdown.scss", "SCSS", -422, -5, -54, -481
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_fixed-plugin.scss", "SCSS", -290, 0, -53, -343
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_footers.scss", "SCSS", -38, 0, -9, -47
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_images.scss", "SCSS", -7, 0, -1, -8
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_inputs.scss", "SCSS", -347, -2, -55, -404
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_misc.scss", "SCSS", -135, -3, -15, -153
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_mixins.scss", "SCSS", -7, -1, -1, -9
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_navbar.scss", "SCSS", -256, 0, -55, -311
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_nucleo-outline.scss", "SCSS", -435, -29, -103, -567
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_page-header.scss", "SCSS", -73, 0, -13, -86
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_responsive.scss", "SCSS", -462, 0, -89, -551
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_sidebar-and-main-panel.scss", "SCSS", -306, -1, -55, -362
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_tables.scss", "SCSS", -150, 0, -24, -174
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_typography.scss", "SCSS", -148, -5, -21, -174
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\_variables.scss", "SCSS", -274, -19, -112, -405
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\angular\_dropdown.scss", "SCSS", -3, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\angular\_fixed-plugin.scss", "SCSS", -11, 0, -1, -12
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\angular\_inputs.scss", "SCSS", -3, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\angular\_plugin-ngx-toastr.scss", "SCSS", -92, 0, -15, -107
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\angular\_sidebar-and-main-panel.scss", "SCSS", -7, 0, -2, -9
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\cards\_card-chart.scss", "SCSS", -41, 0, -8, -49
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\cards\_card-map.scss", "SCSS", -3, 0, -1, -4
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\cards\_card-plain.scss", "SCSS", -14, 0, -4, -18
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\cards\_card-stats.scss", "SCSS", -39, 0, -10, -49
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\cards\_card-user.scss", "SCSS", -41, 0, -10, -51
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\mixins\_buttons.scss", "SCSS", -179, -2, -32, -213
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\mixins\_cards.scss", "SCSS", -4, 0, -1, -5
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\mixins\_dropdown.scss", "SCSS", -19, 0, -6, -25
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\mixins\_inputs.scss", "SCSS", -188, -6, -40, -234
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\mixins\_page-header.scss", "SCSS", -7, 0, -1, -8
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\mixins\_transparency.scss", "SCSS", -5, -2, -2, -9
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\mixins\_vendor-prefixes.scss", "SCSS", -204, 0, -25, -229
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\plugins\_plugin-animate-bootstrap-notify.scss", "SCSS", -153, -7, -68, -228
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\assets\scss\paper-dashboard\plugins\_plugin-perfect-scrollbar.scss", "SCSS", -104, -9, -1, -114
"Total", "-", -5061, -118, -996, -6175
