"filename", "language", "TypeScript", "CSS", "HTML", "JSON", "XML", "comment", "blank", "total"
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\admin-area\admin-area.component.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\admin-area\admin-area.component.html", "HTML", 0, 0, 12, 0, 0, 0, 4, 16
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\admin-area\admin-area.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\admin-area\admin-area.component.ts", "TypeScript", 83, 0, 0, 0, 0, 0, 11, 94
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\admin-nav\admin-nav.component.css", "CSS", 0, 54, 0, 0, 0, 0, 10, 64
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\admin-nav\admin-nav.component.html", "HTML", 0, 0, 84, 0, 0, 126, 18, 228
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\admin-nav\admin-nav.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\admin-nav\admin-nav.component.ts", "TypeScript", 117, 0, 0, 0, 0, 1, 28, 146
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\adminareaproducts\adminareaproducts.component.css", "CSS", 0, 12, 0, 0, 0, 0, 1, 13
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\adminareaproducts\adminareaproducts.component.html", "HTML", 0, 0, 4, 0, 0, 15, 6, 25
"c:\Users\User1\Desktop\B2bProject\b2b\b2bProject\src\app\AdminArea\adminareaproducts\adminareaproducts.component.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 6, 24
